year,month,day,Time,EC/Hour,avgTemp/Hour,Weekday
2015,5,28,14:00,0.0999999999999801,18,Thursday
2015,5,28,15:00,0.200000000000031,19,Thursday
2015,5,28,16:00,0.0900000000000034,19,Thursday
2015,5,28,17:00,0.0999999999999801,18,Thursday
2015,5,28,18:00,0.100000000000051,17,Thursday
2015,5,28,19:00,0.209999999999937,17,Thursday
2015,5,28,20:00,3.59999999999999,16,Thursday
2015,5,28,21:00,3.49000000000004,15,Thursday
2015,5,28,22:00,3.59999999999999,14,Thursday
2015,5,28,23:00,3.81,14,Thursday
2015,5,29,0:00,3.2,14,Friday
2015,5,29,1:00,0.189999999999984,13,Friday
2015,5,29,2:00,0.0999999999999801,13,Friday
2015,5,29,3:00,0.100000000000051,13,Friday
2015,5,29,4:00,0.210000000000008,12,Friday
2015,5,29,5:00,1.28999999999998,13,Friday
2015,5,29,6:00,9.70999999999997,13,Friday
2015,5,29,7:00,0.200000000000031,14,Friday
2015,5,29,8:00,0.0900000000000034,15,Friday
2015,5,29,9:00,0.0999999999999801,17,Friday
2015,5,29,10:00,0.200000000000031,18,Friday
2015,5,29,11:00,0.109999999999957,19,Friday
2015,5,29,12:00,0.100000000000051,19,Friday
2015,5,29,13:00,0.0999999999999801,20,Friday
2015,5,29,14:00,0.189999999999984,20,Friday
2015,5,29,15:00,0.0999999999999801,20,Friday
2015,5,29,16:00,0.100000000000051,20,Friday
2015,5,29,17:00,0.159999999999982,19,Friday
2015,5,29,18:00,0.150000000000006,18,Friday
2015,5,29,19:00,0.0999999999999801,17,Friday
2015,5,29,20:00,0.0999999999999801,16,Friday
2015,5,29,21:00,3.59000000000002,15,Friday
2015,5,29,22:00,3.2,14,Friday
2015,5,29,23:00,3.29999999999998,13,Friday
2015,5,30,0:00,3.11,13,Saturday
2015,5,30,1:00,0.100000000000051,12,Saturday
2015,5,30,2:00,0.189999999999984,12,Saturday
2015,5,30,3:00,0.0999999999999801,12,Saturday
2015,5,30,4:00,0.150000000000006,12,Saturday
2015,5,30,5:00,0.70999999999998,13,Saturday
2015,5,30,6:00,7.34000000000002,14,Saturday
2015,5,30,7:00,0.0999999999999801,14,Saturday
2015,5,30,8:00,0.200000000000031,15,Saturday
2015,5,30,9:00,0.110000000000028,16,Saturday
2015,5,30,10:00,0.150000000000006,16,Saturday
2015,5,30,11:00,0.149999999999935,17,Saturday
2015,5,30,12:00,0.0900000000000034,17,Saturday
2015,5,30,13:00,0.100000000000051,17,Saturday
2015,5,30,14:00,0.150000000000006,17,Saturday
2015,5,30,15:00,0.150000000000006,17,Saturday
2015,5,30,16:00,0.109999999999957,17,Saturday
2015,5,30,17:00,0.0999999999999801,17,Saturday
2015,5,30,18:00,0.100000000000051,16,Saturday
2015,5,30,19:00,0.189999999999984,16,Saturday
2015,5,30,20:00,6.31,15,Saturday
2015,5,30,21:00,3.59999999999999,14,Saturday
2015,5,30,22:00,3.69,12,Saturday
2015,5,30,23:00,3.40000000000003,13,Saturday
2015,5,31,0:00,3.60999999999997,13,Sunday
2015,5,31,1:00,0.189999999999984,13,Sunday
2015,5,31,2:00,0.0999999999999801,12,Sunday
2015,5,31,3:00,0.100000000000051,11,Sunday
2015,5,31,4:00,0.210000000000008,10,Sunday
2015,5,31,5:00,0.749999999999957,11,Sunday
